SMD,margin-2024-11-05 (1).csv,margin-pct-2024-11-05 (1).csv,margin-2024-11-05 (2).csv,margin-pct-2024-11-05 (2).csv,margin-2024-11-07.csv,margin-pct-2024-11-07.csv,margin-2024-11-08.csv,margin-pct-2024-11-08.csv,margin-2024-11-09.csv,margin-pct-2024-11-09.csv
1B02,11,0.012235817575083427,17,0.018065887353878853,26,0.026395939086294416,30,0.028901734104046242,26,0.024505183788878417
3A03,4,0.0048721071863581,2,0.0024096385542168677,1,0.001128668171557562,10,0.010764262648008612,10,0.010570824524312896
3/4G05,14,0.012152777777777778,18,0.015503875968992248,1,0.0008223684210526315,3,0.0023923444976076554,5,0.003869969040247678
5E05,-35,-0.03863134657836645,-30,-0.03257328990228013,-20,-0.0205761316872428,-16,-0.015549076773566569,-14,-0.013270142180094787
6/8F02,-9,-0.00546448087431694,-12,-0.007046388725778039,2,0.0011135857461024498,15,0.007882291119285338,19,0.009819121447028423
