SMD,2022-10-19 reg,2024-09-04 reg,2022-11-08 cast,2024-11-05 unofficial,2022-11-08 pct of whole,2022 turnout
6D08,1996,1806,616,1112,0.022071835943196554,30.861723446893784
6E01,1280,956,475,486,0.017019678689964873,37.109375
6E02,1404,1129,534,590,0.019133701937771037,38.034188034188034
6E03,1133,1001,348,603,0.012469154071805846,30.71491615180936
6E04,1350,1076,332,719,0.011895859631722818,24.592592592592595
6E05,1274,1157,358,751,0.012827463096857738,28.100470957613815
6E06,1493,1227,505,810,0.01809460576512055,33.82451440053583
6E07,1357,1265,404,898,0.01447568461209644,29.771554900515845
6E08,1231,828,406,432,0.014547346417106819,32.98131600324939
6E09,1358,1190,499,499,0.017879620350089418,36.745213549337265
7B01,1737,1284,453,737,0.016231398834850714,26.07944732297064
7B02,1730,1690,854,1076,0.03059959073943159,49.36416184971098
7B03,1653,1314,460,724,0.01648221515238704,27.828191167574108
7B04,1644,1443,699,927,0.02504580085112726,42.518248175182485
7B05,1492,1285,559,793,0.020029474500400768,37.466487935656836
7B06,1770,1458,776,783,0.027804780344026826,43.84180790960452
7B07,1598,1482,756,905,0.02708816229392304,47.309136420525654
7B08,1764,1640,680,743,0.024365013703528664,38.54875283446712
7B09,1218,915,301,518,0.010785101654061952,24.71264367816092
7C01,1329,1053,348,617,0.012469154071805846,26.185101580135438
7C02,1506,1311,423,698,0.015156471759695037,28.087649402390436
7C03,1632,1422,457,731,0.016374722444871467,28.002450980392158
7C04,1633,1467,508,805,0.018202098472636118,31.10838946723821
7C05,1564,1255,431,667,0.01544311897973655,27.55754475703325
7C06,1714,1610,550,829,0.019706996377854065,32.08868144690782
7C07,1709,1417,545,833,0.01952784186532812,31.88999414862493
7C08,1668,1528,542,776,0.019420349157812555,32.49400479616307
7C09,1530,1310,441,724,0.015801428004788443,28.823529411764703
7D01,1517,1374,433,705,0.015514780784746926,28.54317732366513
7D02,1641,1156,317,529,0.01135839609414498,19.317489335770873
7D03,1455,1307,463,770,0.016589707859902606,31.821305841924396
7D04,1802,1639,747,1019,0.02676568417137634,41.45394006659268
7D05,1709,1445,708,873,0.025368278973673962,41.42773551784669
7D06,1496,1300,489,671,0.017521311325037522,32.68716577540107
7D07,1635,1370,636,882,0.022788453993300338,38.899082568807344
7D08,1447,1251,614,778,0.022000174138186175,42.4326192121631
7D09,1605,1457,815,961,0.02920218554172921,50.77881619937694
7D10,1555,1460,825,968,0.029560494566781097,53.054662379421224
7E01,1715,1547,622,844,0.02228682135822769,36.268221574344025
7E02,1431,1234,470,642,0.01684052417743893,32.84416491963662
7E03,1358,1204,310,480,0.011107579776608655,22.827687776141385
7E04,1753,1470,504,550,0.01805877486261536,28.75071306332002
7E05,1370,1062,331,413,0.011860028729217629,24.16058394160584
7E06,1561,1372,434,633,0.015550611687252119,27.802690582959645
7E07,1486,1092,327,485,0.011716705119196872,22.005383580080753
7F01,1149,832,260,411,0.009316034651349194,22.628372497824195
7F02,1476,1256,469,691,0.016804693274933738,31.775067750677504
7F03,1683,1369,461,780,0.016518046054892224,27.39156268568033
7F04,1739,1514,600,829,0.021498541503113526,34.50258769407706
7F05,1565,1304,493,716,0.01766463493505828,31.50159744408946
7F06,1189,971,209,438,0.007488658623584545,17.577796467619848
7F07,1594,1358,508,802,0.018202098472636118,31.869510664993726
7F08,501,489,157,444,0.005625451693314706,31.3373253493014
8A01,1696,1306,478,728,0.017127171397480444,28.183962264150942
8A02,1696,1507,491,727,0.0175929731300479,28.950471698113205
8A03,1594,1321,569,760,0.02038778352545266,35.69636135508156
8A04,1465,1256,342,548,0.012254168656774709,23.344709897610922
8A05,1611,1354,333,586,0.011931690534228007,20.670391061452513
8A06,1892,1483,485,805,0.01737798771501677,25.634249471458777
8A07,1559,1225,435,653,0.015586442589757306,27.902501603592043
8B01,1450,1153,347,605,0.012433323169300656,23.93103448275862
8B02,1304,995,362,519,0.012970786706878495,27.76073619631902
8B03,1266,1031,232,479,0.008312769381203896,18.325434439178515
8B04,1232,1007,233,472,0.008348600283709087,18.91233766233766
8B05,1203,880,255,382,0.00913688013882325,21.197007481296758
8B06,1695,1535,491,828,0.0175929731300479,28.96755162241888
8B07,1309,1054,237,467,0.008491923893729844,18.105423987776927
8C01,1315,963,291,510,0.01042679262901006,22.129277566539923
8C02,1538,1196,351,538,0.012576646779321413,22.82184655396619
8C03,1221,1120,275,628,0.009853498188927032,22.52252252252252
8C04,1668,1399,455,695,0.016303060639861092,27.278177458033575
8C05,1512,1187,320,525,0.011465888801660547,21.164021164021165
8C06,1433,1230,389,636,0.013938221074518602,27.145847871598043
8C07,1475,1260,377,643,0.013508250244456333,25.559322033898308
8C08,1543,1369,380,670,0.0136157429519719,24.627349319507452
8D01,1549,1267,432,517,0.015478949882241739,27.888960619754684
8D02,315,144,42,92,0.0015048979052179469,13.333333333333334
8D03,1457,1135,257,482,0.009208541943833626,17.63898421413864
8D04,1446,763,204,421,0.0073095041110585995,14.107883817427386
8D05,1422,1110,315,555,0.011286734289134601,22.151898734177212
8D06,1653,1289,468,625,0.01676886237242855,28.31215970961887
8D07,891,578,185,347,0.006628716963460004,20.763187429854096
8D08,1466,1164,365,489,0.013078279414394062,24.89768076398363
8E01,1510,1260,313,589,0.011215072484124223,20.72847682119205
8E02,1441,1048,283,467,0.010140145408968546,19.63913948646773
8E03,1341,1073,291,548,0.01042679262901006,21.700223713646533
8E04,1475,1202,298,570,0.010677608946546385,20.203389830508474
8E05,1723,1437,493,783,0.01766463493505828,28.61288450377249
8E06,1343,1089,262,521,0.009387696456359574,19.50856291883842
8E07,1365,1087,303,516,0.01085676345907233,22.197802197802197
8E08,1413,1101,358,602,0.012827463096857738,25.336164189667375
8E09,1430,1063,297,545,0.010641778044041195,20.76923076923077
